sample_dir,subject_name,timestamp,condition,mask_path,spectrum_path
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_20_04,P043_OP033_2019_12_20_Experiment1,2019_12_20_11_20_04,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_20_04\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_20_04\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_20_24,P043_OP033_2019_12_20_Experiment1,2019_12_20_11_20_24,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_20_24\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_20_24\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_20_46,P043_OP033_2019_12_20_Experiment1,2019_12_20_11_20_46,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_20_46\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_20_46\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_21_05,P043_OP033_2019_12_20_Experiment1,2019_12_20_11_21_05,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_21_05\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_21_05\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P044_Pig003_G001_2020_02_01\2020_02_01_10_23_29,P044_Pig003_G001_2020_02_01,2020_02_01_10_23_29,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P044_Pig003_G001_2020_02_01\2020_02_01_10_23_29\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P044_Pig003_G001_2020_02_01\2020_02_01_10_23_29\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P044_Pig003_G001_2020_02_01\2020_02_01_10_24_01,P044_Pig003_G001_2020_02_01,2020_02_01_10_24_01,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P044_Pig003_G001_2020_02_01\2020_02_01_10_24_01\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P044_Pig003_G001_2020_02_01\2020_02_01_10_24_01\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P045_Pig004_G001_2020_02_05\2020_02_05_11_40_36,P045_Pig004_G001_2020_02_05,2020_02_05_11_40_36,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P045_Pig004_G001_2020_02_05\2020_02_05_11_40_36\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P045_Pig004_G001_2020_02_05\2020_02_05_11_40_36\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P045_Pig004_G001_2020_02_05\2020_02_05_13_11_58,P045_Pig004_G001_2020_02_05,2020_02_05_13_11_58,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P045_Pig004_G001_2020_02_05\2020_02_05_13_11_58\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P045_Pig004_G001_2020_02_05\2020_02_05_13_11_58\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P046_Pig005_G001_2020_02_07\2020_02_07_09_32_20,P046_Pig005_G001_2020_02_07,2020_02_07_09_32_20,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P046_Pig005_G001_2020_02_07\2020_02_07_09_32_20\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P046_Pig005_G001_2020_02_07\2020_02_07_09_32_20\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P046_Pig005_G001_2020_02_07\2020_02_07_11_19_16,P046_Pig005_G001_2020_02_07,2020_02_07_11_19_16,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P046_Pig005_G001_2020_02_07\2020_02_07_11_19_16\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P046_Pig005_G001_2020_02_07\2020_02_07_11_19_16\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P047_Pig006_G001_2020_02_07\2020_02_07_17_50_20,P047_Pig006_G001_2020_02_07,2020_02_07_17_50_20,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P047_Pig006_G001_2020_02_07\2020_02_07_17_50_20\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P047_Pig006_G001_2020_02_07\2020_02_07_17_50_20\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P047_Pig006_G001_2020_02_07\2020_02_07_19_00_03,P047_Pig006_G001_2020_02_07,2020_02_07_19_00_03,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P047_Pig006_G001_2020_02_07\2020_02_07_19_00_03\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P047_Pig006_G001_2020_02_07\2020_02_07_19_00_03\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P048_Pig007_G001_2020_02_08\2020_02_08_11_01_21,P048_Pig007_G001_2020_02_08,2020_02_08_11_01_21,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P048_Pig007_G001_2020_02_08\2020_02_08_11_01_21\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P048_Pig007_G001_2020_02_08\2020_02_08_11_01_21\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P048_Pig007_G001_2020_02_08\2020_02_08_12_17_37,P048_Pig007_G001_2020_02_08,2020_02_08_12_17_37,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P048_Pig007_G001_2020_02_08\2020_02_08_12_17_37\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P048_Pig007_G001_2020_02_08\2020_02_08_12_17_37\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P049_Pig008_G002_2020_02_11\2020_02_11_19_37_58,P049_Pig008_G002_2020_02_11,2020_02_11_19_37_58,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P049_Pig008_G002_2020_02_11\2020_02_11_19_37_58\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P049_Pig008_G002_2020_02_11\2020_02_11_19_37_58\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P049_Pig008_G002_2020_02_11\2020_02_11_21_06_56,P049_Pig008_G002_2020_02_11,2020_02_11_21_06_56,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P049_Pig008_G002_2020_02_11\2020_02_11_21_06_56\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P049_Pig008_G002_2020_02_11\2020_02_11_21_06_56\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P050_Pig009_G002_2020_02_18\2020_02_18_18_47_18,P050_Pig009_G002_2020_02_18,2020_02_18_18_47_18,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P050_Pig009_G002_2020_02_18\2020_02_18_18_47_18\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P050_Pig009_G002_2020_02_18\2020_02_18_18_47_18\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P050_Pig009_G002_2020_02_18\2020_02_18_20_26_20,P050_Pig009_G002_2020_02_18,2020_02_18_20_26_20,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P050_Pig009_G002_2020_02_18\2020_02_18_20_26_20\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P050_Pig009_G002_2020_02_18\2020_02_18_20_26_20\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P051_Pig010_G002_2020_03_03\2020_03_03_19_57_28,P051_Pig010_G002_2020_03_03,2020_03_03_19_57_28,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P051_Pig010_G002_2020_03_03\2020_03_03_19_57_28\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P051_Pig010_G002_2020_03_03\2020_03_03_19_57_28\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P051_Pig010_G002_2020_03_03\2020_03_03_21_27_36,P051_Pig010_G002_2020_03_03,2020_03_03_21_27_36,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P051_Pig010_G002_2020_03_03\2020_03_03_21_27_36\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P051_Pig010_G002_2020_03_03\2020_03_03_21_27_36\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P052_Pig011_G002_2020_03_04\2020_03_04_13_30_47,P052_Pig011_G002_2020_03_04,2020_03_04_13_30_47,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P052_Pig011_G002_2020_03_04\2020_03_04_13_30_47\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P052_Pig011_G002_2020_03_04\2020_03_04_13_30_47\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P052_Pig011_G002_2020_03_04\2020_03_04_13_31_06,P052_Pig011_G002_2020_03_04,2020_03_04_13_31_06,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P052_Pig011_G002_2020_03_04\2020_03_04_13_31_06\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P052_Pig011_G002_2020_03_04\2020_03_04_13_31_06\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P052_Pig011_G002_2020_03_04\2020_03_04_14_42_51,P052_Pig011_G002_2020_03_04,2020_03_04_14_42_51,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P052_Pig011_G002_2020_03_04\2020_03_04_14_42_51\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P052_Pig011_G002_2020_03_04\2020_03_04_14_42_51\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P052_Pig011_G002_2020_03_04\2020_03_04_14_43_29,P052_Pig011_G002_2020_03_04,2020_03_04_14_43_29,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P052_Pig011_G002_2020_03_04\2020_03_04_14_43_29\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P052_Pig011_G002_2020_03_04\2020_03_04_14_43_29\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P053_Pig012_G002_2020_03_06\2020_03_06_12_10_51,P053_Pig012_G002_2020_03_06,2020_03_06_12_10_51,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P053_Pig012_G002_2020_03_06\2020_03_06_12_10_51\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P053_Pig012_G002_2020_03_06\2020_03_06_12_10_51\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P053_Pig012_G002_2020_03_06\2020_03_06_12_11_17,P053_Pig012_G002_2020_03_06,2020_03_06_12_11_17,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P053_Pig012_G002_2020_03_06\2020_03_06_12_11_17\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P053_Pig012_G002_2020_03_06\2020_03_06_12_11_17\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P053_Pig012_G002_2020_03_06\2020_03_06_13_38_33,P053_Pig012_G002_2020_03_06,2020_03_06_13_38_33,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P053_Pig012_G002_2020_03_06\2020_03_06_13_38_33\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P053_Pig012_G002_2020_03_06\2020_03_06_13_38_33\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P054_Pig013_G002_2020_03_10\2020_03_10_18_38_53,P054_Pig013_G002_2020_03_10,2020_03_10_18_38_53,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P054_Pig013_G002_2020_03_10\2020_03_10_18_38_53\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P054_Pig013_G002_2020_03_10\2020_03_10_18_38_53\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P054_Pig013_G002_2020_03_10\2020_03_10_19_58_43,P054_Pig013_G002_2020_03_10,2020_03_10_19_58_43,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P054_Pig013_G002_2020_03_10\2020_03_10_19_58_43\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P054_Pig013_G002_2020_03_10\2020_03_10_19_58_43\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
